site,site_name,plot,year,survey_round,survey_date,treat_cont,start,point,minute,species,distance,how,sex,visual,migrating,cluster_size,cluster_code
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,4,resq,30,c,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,4,yrwa,42,s,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,5,weta,45,s,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,5,resq,42,c,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,5,amro,29,v,,y,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,6,rcki,73,s,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,6,resq,19,c,,,,,
5b,sm_cont,5b4,2014,2,6/23/2014,c,,4,6,pisi,52,c,,,,,
5b,sm_cont,5b5,2014,2,6/23/2014,c,0703,5,1,yrwa,25,s,,,,,
5b,sm_cont,5b5,2014,2,6/23/2014,c,,5,1,chsp,41,s,,,,,
5b,sm_cont,5b5,2014,2,6/23/2014,c,,5,1,heth,76,s,,,,,
5b,sm_cont,5b5,2014,2,6/23/2014,c,,5,1,rcki,55,s,,,,,
5b,sm_cont,5b5,2014,2,6/23/2014,c,,5,1,cofl,38,c,,,,,
5b,sm_cont,5b5,2014,2,6/23/2014,c,,5,1,yrwa,31,s,,,,,
5b,sm_cont,5b5,2014,2,6/23/2014,c,,5,2,rbnu,33,c,,,,,
5b,sm_cont,5b5,2014,2,6/23/2014,c,,5,2,brcr,36,s,,,,,
5b,sm_cont,5b5,2014,2,6/23/2014,c,,5,3,heth,111,s,,,,,
5b,sm_cont,5b5,2014,2,6/23/2014,c,,5,3,pisi,62,c,,,,,
5b,sm_cont,5b5,2014,2,6/23/2014,c,,5,4,deju,37,s,,,,,
5b,sm_cont,5b5,2014,2,6/23/2014,c,,5,4,rcki,64,s,,,,,
5b,sm_cont,5b5,2014,2,6/23/2014,c,,5,5,nobi,NA,NA,,,,,
5b,sm_cont,5b5,2014,2,6/23/2014,c,,5,6,moch,27,c,,,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,0721,6,1,weta,42,s,,,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,1,unwo,59,d,,,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,1,deju,14,v,,y,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,1,yrwa,46,s,,,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,1,rcki,38,cs,,,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,1,amro,36,c,,,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,2,rbnu,53,c,,,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,2,cofl,40,cs,,,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,2,rcki,51,s,,,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,3,moch,44,c,,,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,3,yrwa,26,v,m,y,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,4,yrwa,13,v,f,y,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,5,pisi,43,c,,,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,5,brcr,39,s,,,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,6,deju,61,s,,,,,
5b,sm_cont,5b6,2014,2,6/23/2014,c,,6,6,heth,102,s,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,0734,7,1,heth,79,s,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,1,gcki,23,s,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,1,howr,45,s,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,1,wewp,39,c,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,1,weta,62,s,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,1,unwo,65,d,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,1,deju,44,s,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,1,rcki,41,s,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,2,yrwa,27,s,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,3,deju,37,s,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,4,btlh,33,o,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,4,deju,40,s,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,4,rcki,53,s,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,5,howr,39,s,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,6,resq,46,c,,,,,
5b,sm_cont,5b7,2014,2,6/23/2014,c,,7,6,yrwa,41,s,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,0751,8,1,yrwa,22,s,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,1,yrwa,27,s,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,1,yrwa,43,s,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,1,howr,41,s,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,1,deju,36,s,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,1,rbnu,38,c,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,1,weta,34,s,m,y,,,a
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,1,heth,96,s,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,2,wewp,42,c,,y,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,2,howr,37,s,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,2,unwo,88,d,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,3,yrwa,41,s,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,3,brcr,39,s,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,3,moch,44,c,,y,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,3,pisi,52,c,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,4,weta,33,c,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,4,pisi,52,c,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,5,weta,49,s,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,5,resq,28,c,,y,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,6,howr,32,s,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,6,stja,50,c,,,,,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,6,graj,54,c,,y,,3,
5b,sm_cont,5b8,2014,2,6/23/2014,c,,8,6,weta,34,v,f,y,,,a
5b,sm_cont,5b9,2014,2,6/23/2014,c,0811,9,1,deju,46,s,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,1,deju,53,s,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,1,weta,49,cs,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,1,heth,56,s,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,1,rcki,63,s,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,1,rbnu,46,c,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,1,cofl,48,c,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,2,moch,36,c,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,3,yrwa,41,s,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,3,rcki,44,s,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,4,clnu,48,c,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,4,evgr,40,c,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,4,brcr,34,s,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,5,yrwa,47,s,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,6,weta,62,s,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,6,deju,30,v,,y,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,6,heth,106,s,,,,,
5b,sm_cont,5b9,2014,2,6/23/2014,c,,9,6,pisi,19,c,,,,2,
